"","","","Popart: The Hits 1985. ",
"","","","Phil Collins ",
"","","","pitbull ",
"","","","pit bull ",
"","","Pitbull Feat. Ke$ha ","Timber ",
"","","and Moh. ","suavemente ",
"","","","Time Of Our Lives ",
"","","The Pointer Sisters ","Pointer Sisters ",
"","","Sisters ","Break Out ",
"","","Sisters ","Greatest Hits [RCA] ",
"","","","Posner ",
"","","","Post Malone ",
"","","","The Pretenderss ",
"","","Revolution ","Purple Rain ",
"","","Revolution ","Purple Rain ",
"","","","Party Time ",
"","","","1990's Dance ",
"","","","rhianna ",
"","","Fred ","100% Dance ",
"","","","Rihanna ",
"","","","Anti ",
"","","","Rihanna ",
"","","Rihanna ","Good Girl Gone Bad ",
"","","","Rihanna ",
"","","Robert Palmer ","Addictions, Vol. 1 ",
"","","","Addictions, Vol. 1 ",
"","","","Addictions, Vol. 1 ",
"","","","The Number One Aco. ",
"","","","robert plant ",
