"80 ","Ain't Nobody ","","4:39 ","Music ","Chaka Khan ",
"81 ","Tequila - The Champs ","","2:10 ","Music ","The Champs ",
"82 ","We don't talk anymore ","","3:50 ","Music ","Charley Puth Selena ",
"83 ","Marvin Gaye ","","3:13 ","Music ","Charlie Puth Meghan ",
"84 ","Ain't That a Shame ","","4:16 ","Music ","Cheap Trick ",
"85 ","Don't Be Cruel ","","3:28 ","Music ","Cheap Trick ",
"86 ","I Want You To Want Me ","","3:29 ","Music ","Cheap Trick ",
"87 ","International Love ","","3:53 ","Music ","Chris Brown ",
"88 ","Rock the Casbah ","","3:49 ","Music ","The Clash ",
"89 ","Rockabye ","","","","",
"90 ","Adventure of a Lifetime ","","3:47 ","Music ","Coldplay ",
"91 ","A Sky Full of Stars ","","","","",
"92 ","born to be alive ","","6:14 ","Music ","The Countdown ",
"93 ","Dreams ","","4:27 ","Music ","The Cranberries ",
"94 ","Linger ","","","","",
"95 ","Susie e ","","4:37 ","Music ","Creedence - ",
"96 ","Don't Dream It's Over ","","","","",
"97 ","Dreamboy, Dreamgirl ","","5:30 ","Music ","Cynthia & Johnny ",
"98 ","Despacito ","","3:49 ","Music ","Daddy Yankee ",
"99 ","Ashes to Ashes ","","","","",
"100 ","China Girl ","","4:17 ","Music ","David Bowie ",
"101 ","Golden Years ","","4:00 ","Music ","David Bowie ",
"102 ","Let's Dance ","","4:10 ","Music ","David Bowie ",
"103 ","Modern Love ","","3:58 ","Music ","David Bowie ",
"104 ","Young Americans [Remix] ","","5:12 ","Music ","David Bowie ",
"105 ","Titanium (ft. Sia) ","","4:05 ","Music ","David Guetta ",
"106 ","Love Bites ","","5:49 ","Music ","Def Leppard ",
"107 ","Runaway ","","2:19 ","Music ","Del Shannon ",
"108 ","i miss you ","","4:57 ","Music ","Deserts mystery ",
